Expression	Value	Location	Type	
Var_64	Error (col 1): Unknown or ambiguous symbol. Var_64			
ADC_Data	<array>	0x2000000C	short[1024]	
[758]	117	0x200005F8	short	
[759]	0	0x200005FA	short	
[760]	1837	0x200005FC	short	
[761]	909	0x200005FE	short	
[762]	2312	0x20000600	short	
[763]	1163	0x20000602	short	
[764]	2777	0x20000604	short	
[765]	3430	0x20000606	short	
[766]	1520	0x20000608	short	
[767]	798	0x2000060A	short	
[768]	344	0x2000060C	short	
[769]	151	0x2000060E	short	
[770]	36	0x20000610	short	
[771]	23	0x20000612	short	
[772]	19	0x20000614	short	
[773]	0	0x20000616	short	
[774]	2150	0x20000618	short	
[775]	3062	0x2000061A	short	
[776]	1616	0x2000061C	short	
[777]	2763	0x2000061E	short	
[778]	1249	0x20000620	short	
[779]	559	0x20000622	short	
[780]	2492	0x20000624	short	
[781]	3263	0x20000626	short	
[782]	3556	0x20000628	short	
[783]	1722	0x2000062A	short	
[784]	822	0x2000062C	short	
[785]	310	0x2000062E	short	
[786]	2018	0x20000630	short	
[787]	1005	0x20000632	short	
[788]	2357	0x20000634	short	
[789]	1189	0x20000636	short	
[790]	2790	0x20000638	short	
[791]	3415	0x2000063A	short	
[792]	3634	0x2000063C	short	
[793]	1778	0x2000063E	short	
[794]	2730	0x20000640	short	
[795]	1388	0x20000642	short	
[796]	660	0x20000644	short	
[797]	221	0x20000646	short	
[798]	1974	0x20000648	short	
[799]	983	0x2000064A	short	
[800]	2697	0x2000064C	short	
[801]	3364	0x2000064E	short	
[802]	3608	0x20000650	short	
[803]	1747	0x20000652	short	
[804]	943	0x20000654	short	
[805]	2520	0x20000656	short	
[806]	3372	0x20000658	short	
[807]	3742	0x2000065A	short	
[808]	1664	0x2000065C	short	
[809]	867	0x2000065E	short	
[810]	379	0x20000660	short	
[811]	78	0x20000662	short	
[812]	1905	0x20000664	short	
[813]	1020	0x20000666	short	
[814]	477	0x20000668	short	
[815]	2320	0x2000066A	short	
[816]	2971	0x2000066C	short	
[817]	1500	0x2000066E	short	
[818]	2932	0x20000670	short	
[819]	3493	0x20000672	short	
[820]	3805	0x20000674	short	
[821]	3890	0x20000676	short	
[822]	3988	0x20000678	short	
[823]	1917	0x2000067A	short	
[824]	3128	0x2000067C	short	
[825]	3600	0x2000067E	short	
[826]	3736	0x20000680	short	
[827]	1824	0x20000682	short	
[828]	2752	0x20000684	short	
[829]	1398	0x20000686	short	
[830]	685	0x20000688	short	
[831]	2358	0x2000068A	short	
[832]	1271	0x2000068C	short	
[833]	2661	0x2000068E	short	
[834]	3440	0x20000690	short	
[835]	3749	0x20000692	short	
[836]	3879	0x20000694	short	
[837]	3944	0x20000696	short	
[838]	3961	0x20000698	short	
